File And Step Number,Test Performed,Execution Status,Test File Name
F0_S0,Navigation and URL Check.  Expected: (https://formy-project.herokuapp.com/form) Actual: (https://formy-project.herokuapp.com/form),Successful,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\Fill_out_FormMy_Form_and_submit-Test.xml
F0_S1,Equal comparison results.  Expected value: (Complete Web Form) Actual value: (Complete Web Form),Successful,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\Fill_out_FormMy_Form_and_submit-Test.xml
F0_S11,Equal comparison results.  Expected value: (Complete Web Form) Actual value: (Complete Web Form),Successful,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\Fill_out_FormMy_Form_and_submit-Test.xml
F0_S12,Equal comparison results.  Expected value: (Complete Web Form) Actual value: (Complete Web Form20200228100621855),Failure,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\Fill_out_FormMy_Form_and_submit-Test.xml
F0_S24,Post Action results.  Expected URL: (https://formy-project.herokuapp.com/thanks) Actual URL: (https://formy-project.herokuapp.com/thanks),Successful,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\Fill_out_FormMy_Form_and_submit-Test.xml
F0_S26,Equal comparison results.  Expected value: (The form was successfully submitted!) Actual value: (The form was successfully submitted!),Successful,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\Fill_out_FormMy_Form_and_submit-Test.xml
File And Step Number,Test Performed,Execution Status,Test File Name
F1_S0,Navigation and URL Check.  Expected: (https://formy-project.herokuapp.com/form) Actual: (https://formy-project.herokuapp.com/form),Successful,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\FindPhrase-Test.xml
F1_S2,URL Check.  Expected: (https://formy-project.herokuapp.com/form) Actual: (https://formy-project.herokuapp.com/form),Successful,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\FindPhrase-Test.xml
F1_S3,Comparison results.  Expected value: (200) Actual value: (200),Successful,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\FindPhrase-Test.xml
F1_S4,Not equal count of 'a' tags.  Expected: 17 !=  Actual: 18,Successful,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\FindPhrase-Test.xml
F1_S6,Found (Highest level of education) in element: /html[1]/body[1]/div[1]/form[1]/div[1]/div[4]/div[1]/strong[1]/label[1],Successful,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\FindPhrase-Test.xml
F1_S7,Found (Highest level of education) in element: /html[1]/body[1]/div[1]/form[1]/div[1]/div[4]/div[1],Successful,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\FindPhrase-Test.xml
F1_S8,Found (Highest level of education) in element: /html[1]/body[1]/div[1]/form[1]/div[1]/div[4]/div[1]/strong[1]/label[1],Successful,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\FindPhrase-Test.xml
F1_S9,Found (Highest level) in element: /html[1]/body[1]/div[1]/form[1]/div[1]/div[4]/div[1]/strong[1]/label[1],Successful,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\FindPhrase-Test.xml
