File And Step Number,Test Performed,Execution Status,Test File Name
F0_S0,Navigation and URL Check.  Expected: (https://www.bofaml.com/en-us/content/trader-insights/corporate-bond-trading-strategy-direct-connectivity.html) Actual: (https://www.bofaml.com/en-us/content/trader-insights/corporate-bond-trading-strategy-direct-connectivity.html),Successful,C:\Gary\Alvaro\Tests\Flag-Test.xml
F0_S1,Navigation and URL Check.  Expected: (https://www.bofaml.com/en-us/content/trader-insights/alternative-risk-premia-systematic-investing.html) Actual: (https://www.bofaml.com/en-us/content/trader-insights/alternative-risk-premia-systematic-investing.html),Successful,C:\Gary\Alvaro\Tests\Flag-Test.xml
F0_S2,Comparison of images.  View the images to see the comparison results:       Baseline Image: (C:\Gary\Alvaro\ScreenShots\DirectConnectivity.png)       Actual Image: (C:\Gary\Alvaro\ScreenShots\AlternativeRisk.png)       Difference Image:(C:\Gary\Alvaro\ScreenShots\ComparisonDifferences\DirectConnectivity-AlternativeRisk-DifferenceImage.png)       Global Difference Image:(C:\Gary\Alvaro\ScreenShots\GlobalDifferences\DirectConnectivity-AlternativeRisk-DifferenceImag3.png)       	The GlobalDifferences folder contains 22 files totaling 3 MB.          Available Space:   	        C:\ = 106 GB  	        S:\ = 1 TB,Successful,C:\Gary\Alvaro\Tests\Flag-Test.xml
F0_S2,Ailed Difference Percentage: 61.5% Acceptable Difference Percentage: 0.0%,Failure,C:\Gary\Alvaro\Tests\Flag-Test.xml
F0_S3,Comparison of images.  View the images to see the comparison results:       Baseline Image: (C:\Gary\Alvaro\ScreenShots\DirectConnectivity.png)       Actual Image: (C:\Gary\Alvaro\ScreenShots\AlternativeRisk - Copy.png)       Difference Image:(C:\Gary\Alvaro\ScreenShots\ComparisonDifferences\DirectConnectivity-AlternativeRiskCopy-DifferenceImage.png)       Global Difference Image:(C:\Gary\Alvaro\ScreenShots\GlobalDifferences\DirectConnectivity-AlternativeRiskCopy-DifferenceImag3.png)       	The GlobalDifferences folder contains 23 files totaling 4 MB.          Available Space:   	        C:\ = 106 GB  	        S:\ = 1 TB,Successful,C:\Gary\Alvaro\Tests\Flag-Test.xml
F0_S3,Ailed Difference Percentage: 88.8% Acceptable Difference Percentage: 0.0%,Failure,C:\Gary\Alvaro\Tests\Flag-Test.xml
F0_S4,Comparison of images.  View the images to see the comparison results:       Baseline Image: (C:\Gary\Alvaro\ScreenShots\AlternativeRisk.png)       Actual Image: (C:\Gary\Alvaro\ScreenShots\AlternativeRisk - Copy.png)       Difference Image:(C:\Gary\Alvaro\ScreenShots\ComparisonDifferences\AlternativeRisk-AlternativeRiskCopy-DifferenceImage.png)       Global Difference Image:(C:\Gary\Alvaro\ScreenShots\GlobalDifferences\AlternativeRisk-AlternativeRiskCopy-DifferenceImag3.png)       	The GlobalDifferences folder contains 24 files totaling 4 MB.          Available Space:   	        C:\ = 106 GB  	        S:\ = 1 TB,Successful,C:\Gary\Alvaro\Tests\Flag-Test.xml
F0_S4,Ailed Difference Percentage: 56.01% Acceptable Difference Percentage: 0.0%,Failure,C:\Gary\Alvaro\Tests\Flag-Test.xml
F0_S5,Comparison of images.  View the images to see the comparison results:       Baseline Image: (C:\Gary\Alvaro\ScreenShots\TestImage1.png)       Actual Image: (C:\Gary\Alvaro\ScreenShots\TestImage2.png)       Difference Image:(C:\Gary\Alvaro\ScreenShots\ComparisonDifferences\Test1-Test2-DifferenceImage.png)       Global Difference Image:(C:\Gary\Alvaro\ScreenShots\GlobalDifferences\Test1-Test2-DifferenceImag3.png)       	The GlobalDifferences folder contains 25 files totaling 4 MB.          Available Space:   	        C:\ = 106 GB  	        S:\ = 1 TB,Successful,C:\Gary\Alvaro\Tests\Flag-Test.xml
F0_S5,Ailed Difference Percentage: 4.98% Acceptable Difference Percentage: 3.0%,Failure,C:\Gary\Alvaro\Tests\Flag-Test.xml
