File And Step Number,Test Performed,Execution Status,Variable Output,Test File Name
F0_S0,Navigation and URL Check.  Expected: (https://nutrish.com/) Actual: (https://nutrish.com/),Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag found: Loading Indicator Animation for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc4/assets/profilejms/images/loading.gif,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag found: Rachael Ray Nutrish - Real Recipes. Real Ingredients. Real Good. for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/header/rachael_ray_nutrish_logo_sm.png,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/original/header/buy_now_pin.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag found: Rachael Ray Nutrish for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/header/rachael_ray_nutrish_logo_sm.png,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/header/social_icons/facebook_dog.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/header/social_icons/facebook_cat.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/header/social_icons/twitter.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/header/social_icons/instagram.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/header/social_icons/pinterest.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/header/all_dog.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__8066__auto_1412d73b810b1ebac11cc92be04bb04f/dog-dry-nutrish.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__8063__auto_1412d73b810b1ebac11cc92be04bb04f/dog-dry-peak.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__8061__auto_1412d73b810b1ebac11cc92be04bb04f/dog-dry-dish.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__8062__auto_1412d73b810b1ebac11cc92be04bb04f/dog-dry-just6.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__8064__auto_1412d73b810b1ebac11cc92be04bb04f/dog-dry-zero-grain.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
