### Comments in this file use 3 pound signs and anything following these will be ignored by the test program.
### Add URL to navigate to, first URL is where browser navigates, second url is what the expected URL will be, in case of redirection etc...
### Each parameter is separate by a semi-colon to prevent interference with navigation urls and colons
### The first parameter url to navigate to, xPath, CssSelector, Tag Name
### The second parameter action to take or expected value to retrieve for URLs both are required separated by a dash
### The third parameter is the type of check to perform and will be ignored for performing Navigation where that is irrelevant
### The fourth parameter is the PeformAction boolean and true when text should be entered, a click occurs or Navigating and false when reading element values
### --------------------------------|-------------------------|-----------------------|-----------------------------------------------------
### [URL/XPath/CssSelector/TagName] ; [Action/Expected value] ; [Element Lookup Type] ; [Perform Action other than Read Value]
https://www.davita.com/ ; Navigate - https://www.davita.com/ ; n/a ; true
//*[@id="content"]/div[1]/div/ul/li/div/div/h1 ; Empower Yourself with Kidney Knowledge ; xPath ; false
//*[@id="content"]/div[2]/div[1]/div/div/h3 ; Explore Home Dialysis ; xPath ; false
//*[@id="content"]/div[3]/div/h3 ; Kidney-Friendly Recipes for a Healthier You ; xPath ; false
//*[@id="content"]/div[1]/div/ul/li/div/div/a ; FIND A CLASS ; xPath ; false
### Going to attempt to test second site in this file
https://www.davita.com/education ; Navigate - https://www.davita.com/education ; n/a ; true
//*[@id="content"]/div[1]/div/ul/li/div/div/h1 ; Education ; xPath ; false
//*[@id="content"]/div[1]/div/div[2]/h2 ; Kidney Disease Education, Tools & Resources ; xPath ; false
//*[@id="content"]/div[2]/div/div[1]/h3 ; Take Charge of Your Kidney Health ; xPath ; false
/html/body/header/div[1]/div[3]/div/ul/li[2]/a/h5 ; click - https://www.davita.com/education/kidney-disease ; xPath ; true
